id,dataset,ground_truth,device_pred,cluster_pred,device_correct,cluster_correct,agree
mamabench_v0.2_afrimedqa_042c9f26bca6,afrimedqa,D,D,D,1,1,1
mamabench_v0.2_afrimedqa_0ca1dd787a90,afrimedqa,D,B,B,0,0,1
mamabench_v0.2_afrimedqa_0cd5217d0e79,afrimedqa,B,B,B,1,1,1
mamabench_v0.2_afrimedqa_0d0fca681b0b,afrimedqa,E,E,E,1,1,1
mamabench_v0.2_afrimedqa_0f260c7c6a01,afrimedqa,A,A,A,1,1,1
mamabench_v0.2_afrimedqa_101413f0934b,afrimedqa,A,A,A,1,1,1
mamabench_v0.2_afrimedqa_1176a66d77bf,afrimedqa,C,C,C,1,1,1
mamabench_v0.2_afrimedqa_1208e1d6ace1,afrimedqa,A,A,A,1,1,1
mamabench_v0.2_afrimedqa_124a1dc12d93,afrimedqa,A,B,B,0,0,1
mamabench_v0.2_afrimedqa_14904100feb4,afrimedqa,A,E,E,0,0,1
mamabench_v0.2_afrimedqa_177e66c56960,afrimedqa,E,C,C,0,0,1
mamabench_v0.2_afrimedqa_1839331b9e28,afrimedqa,A,A,E,1,0,0
mamabench_v0.2_afrimedqa_193fe61a16e0,afrimedqa,C,B,B,0,0,1
mamabench_v0.2_afrimedqa_1967aa2d9c87,afrimedqa,D,A,A,0,0,1
mamabench_v0.2_afrimedqa_1f72be69282b,afrimedqa,E,B,B,0,0,1
mamabench_v0.2_afrimedqa_26d1749fa5c6,afrimedqa,C,B,B,0,0,1
mamabench_v0.2_afrimedqa_279aaabb67b7,afrimedqa,C,D,D,0,0,1
mamabench_v0.2_afrimedqa_2aefc685c77c,afrimedqa,B,B,B,1,1,1
mamabench_v0.2_afrimedqa_2bc99f78ee0f,afrimedqa,C,C,C,1,1,1
mamabench_v0.2_afrimedqa_2ed442f6085c,afrimedqa,B,A,B,0,1,0
mamabench_v0.2_afrimedqa_30aae4a9fc30,afrimedqa,D,B,B,0,0,1
mamabench_v0.2_afrimedqa_31bcd1a11e73,afrimedqa,A,A,A,1,1,1
mamabench_v0.2_afrimedqa_338c68773668,afrimedqa,C,E,D,0,0,0
mamabench_v0.2_afrimedqa_34f8770b69d5,afrimedqa,E,C,E,0,1,0
mamabench_v0.2_afrimedqa_36582609a22c,afrimedqa,E,B,B,0,0,1
mamabench_v0.2_afrimedqa_390c87a470ea,afrimedqa,A,E,E,0,0,1
mamabench_v0.2_afrimedqa_3bd660b746ce,afrimedqa,A,C,C,0,0,1
mamabench_v0.2_afrimedqa_3df0f485f183,afrimedqa,D,D,D,1,1,1
mamabench_v0.2_afrimedqa_415fdf8429c0,afrimedqa,C,C,C,1,1,1
mamabench_v0.2_afrimedqa_41bf5c698de0,afrimedqa,C,D,A,0,0,0
mamabench_v0.2_afrimedqa_4222e278e45e,afrimedqa,E,D,B,0,0,0
mamabench_v0.2_afrimedqa_431c717a08a4,afrimedqa,D,C,C,0,0,1
mamabench_v0.2_afrimedqa_46b84df0f6dd,afrimedqa,A,A,A,1,1,1
mamabench_v0.2_afrimedqa_47d826b9a77b,afrimedqa,D,D,D,1,1,1
mamabench_v0.2_afrimedqa_4bb74d5fe449,afrimedqa,E,E,E,1,1,1
mamabench_v0.2_afrimedqa_50598fb0bfda,afrimedqa,E,E,E,1,1,1
mamabench_v0.2_afrimedqa_51bc3b632e63,afrimedqa,C,C,C,1,1,1
mamabench_v0.2_afrimedqa_52ee4b837aab,afrimedqa,A,A,E,1,0,0
mamabench_v0.2_afrimedqa_574d1768015a,afrimedqa,C,A,B,0,0,0
mamabench_v0.2_afrimedqa_57bef3401a0c,afrimedqa,D,C,A,0,0,0
mamabench_v0.2_afrimedqa_5866d750e7cd,afrimedqa,E,E,E,1,1,1
mamabench_v0.2_afrimedqa_58c72667fcce,afrimedqa,C,B,B,0,0,1
mamabench_v0.2_afrimedqa_59c6ee49e966,afrimedqa,C,C,A,1,0,0
mamabench_v0.2_afrimedqa_5c34c2071962,afrimedqa,C,C,C,1,1,1
mamabench_v0.2_afrimedqa_5d7b45ae3779,afrimedqa,A,A,D,1,0,0
mamabench_v0.2_afrimedqa_6091ae25766f,afrimedqa,A,E,C,0,0,0
mamabench_v0.2_afrimedqa_673cf25a9ab5,afrimedqa,B,C,A,0,0,0
mamabench_v0.2_afrimedqa_6c2e8e43e60a,afrimedqa,D,A,A,0,0,1
mamabench_v0.2_afrimedqa_6cadcad10cd7,afrimedqa,A,B,B,0,0,1
mamabench_v0.2_afrimedqa_6d71f3b2083b,afrimedqa,B,B,B,1,1,1
